id,name,host_id,host_name,room_type,price
21468955,"STADTHAUS exklusiv & gemütlich, 5 Zimmer, 2 Gärten",3092677,Diego,Entire home/apt,
21497605,GDN Apartment 4,3072679,Felix,Entire home/apt,165
21508610,Eclectic Garden Apartment in a Quiet Residential Area,104788688,Beat,Entire home/apt,176
21542690,"Very beautiful, large apartment, free parking",40915235,Kathrin,Entire home/apt,150
21589639,Amazing 2BR near Lake - Flower 33,1314526,Giancarlo,Entire home/apt,314
21590306,Fantastic 3BR near Lake - Pabs 4,1314526,Giancarlo,Entire home/apt,252
21733471,"Central, cozy 2-room apartment in hip district",158275472,Magdalena,Entire home/apt,
21760290,Amazing Central Studio - Crown 32,1314526,Giancarlo,Entire home/apt,119
21760542,Spacious studio with balcony (Vineyard 71),1314526,Giancarlo,Entire home/apt,
21761038,2BR near lake (Flower 23),1314526,Giancarlo,Entire home/apt,255
21764617,"Perfect location near the airport,transport outdor",68462821,Vincenzo,Private room,188
21823543,3 Room (2BR) Serviced Apartment Zurich city,34541936,Strahinja,Entire home/apt,256
21890929,Executive 1BD flat / city center (Hösch 4),23561865,Dimi,Entire home/apt,-244
21931545,Gemütliche Wohnung mit tollen Ausblick,109770104,Linda,Private room,
22023471,Best area at the lake,13570663,Christian Robert,Entire home/apt,80
22137695,2 room (1BR) Apartment Zurich City,34541936,Strahinja,Entire home/apt,220
22245449,Spacious room in Zurich,160271099,V,Private room,
22261444,"Relax and enjoy ""Little big city Zürich"".",8061776,Salvia,Private room,
22280702,cozy apartment near lake & only 30 min to center,162818374,Nonen,Private room,
22323761,"Downtown Duplex Apartment (140m2), incl. Parking",1788253,Thierry,Entire home/apt,381
22364826,Your own apartment in Zurich center,3387193,Dorothea,Entire home/apt,-104
22445392,1BR near lake (Joy),1314526,Giancarlo,Entire home/apt,191
22445642,1BR flat near lake and city center (Mainau 18.3),1314526,Giancarlo,Entire home/apt,-188
22566124,Schöne Dachwohnung in der Stadt Zürich,165835749,Larissa,Private room,
22603157,Luxury Downtown Penthouse Duplex Apartment,1788253,Thierry,Entire home/apt,640
22607990,Design Studio mit Balkon,58818657,Book A Home AG,Entire home/apt,107
22608055,Design Studio mit Balkon,58818657,Book A Home AG,Entire home/apt,107
22608164,Easy Studio Apartment,58818657,Book A Home AG,Entire home/apt,96
22608276,Easy Studio Apartment,58818657,Book A Home AG,Entire home/apt,95
22608468,Easy Studio Apartment,58818657,Book A Home AG,Entire home/apt,95
22608555,Easy Studio Apartment,58818657,Book A Home AG,Entire home/apt,95
22608635,Easy Studio Apartment,58818657,Book A Home AG,Entire home/apt,95
22608669,Easy Studio Apartment,58818657,Book A Home AG,Entire home/apt,95
22608722,Easy Studio Apartment,58818657,Book A Home AG,Entire home/apt,95
22609744,Easy Studio Apartment,58818657,Book A Home AG,Entire home/apt,95
22609774,Easy Studio Apartment,58818657,Book A Home AG,Entire home/apt,95
22609828,Easy Studio Apartment,58818657,Book A Home AG,Entire home/apt,95
22609860,Easy Studio Apartment (17),58818657,Book A Home AG,Entire home/apt,95
22609894,Easy Studio Apartment,58818657,Book A Home AG,Entire home/apt,95
22609939,Easy Studio Apartment,58818657,Book A Home AG,Entire home/apt,95
22609983,Easy Studio Apartment,58818657,Book A Home AG,Entire home/apt,95
22610019,Easy Studio Apartment,58818657,Book A Home AG,Entire home/apt,95
22611779,Easy Two Bedroom Apartment,58818657,Book A Home AG,Entire home/apt,160
22612724,Budget 2 Bedroom Apartment in central location,58818657,Book A Home AG,Entire home/apt,153
22612904,Budget 1 Bedroom Apartment in central location,58818657,Book A Home AG,Entire home/apt,125
22613030,Budget 1 Bedroom Apartment in central location,58818657,Book A Home AG,Entire home/apt,-124
22694368,Penthouse White Riviera House,1509492,Villa,Entire home/apt,1422
22756581,"Zurich - spacious, elegant & bright 3-Br/3-ba Apt.",2616961,Stefan,Entire home/apt,625
22778929,Steps away from,121653596,Cassandra,Private room,
22873221,Freundliches Zimmer,169241580,Lisa,Private room,76
22883252,Bright Room in Zurich City,16932717,Nathalie,Private room,
23035346,New ! Luxury studio with spectacular views !,13570663,Christian Robert,Entire home/apt,147
23047265,Stadt Zürich-Studio nähe Albisriederplatz 4206,19610180,Rossana,Entire home/apt,95
23099204,Zimmer in supermodernem Appartment mit Tiefgarage.,74438474,Dana,Private room,86
23322898,Le Bijou Lintheschergasse / Zurich HB 1st floor,475053,Alexander Matthias,Entire home/apt,642
23323768,Le Bijou Lintheschergasse / Zurich HB 3rd floor,475053,Alexander Matthias,Entire home/apt,732
23324274,Le Bijou Lintheschergasse / Zurich HB 2nd floor,475053,Alexander Matthias,Entire home/apt,666
23325594,Le Bijou Lintheschergasse / Zurich HB 4th floor,475053,Alexander Matthias,Entire home/apt,684
23356348,Penthouse Apartment with Balcony View of the Alps,138103745,Marco,Private room,99
23422713,Room Manesse 3,174690521,Michael,Private room,76
23424207,Room Manesse 1,174690521,Michael,Private room,-61
23445727,Big Attic Apartment Zurich City,34541936,Strahinja,Entire home/apt,275
23477793,Stylish apartment in trendy Kreis 5,22424188,Natalia,Entire home/apt,
23492726,Cozy 2 room (1BR) Apartment in Zurich City,34541936,Strahinja,Entire home/apt,198
23532672,THE FLAG Zurich - Business Apartment in Altstetten,175646878,THE FLAG Zürich,Private room,201
23621941,Hotel Opera Zürich,180734864,Monika,Private room,
23666044,Apartment for rent 4 km from the main station,41145466,Rodrigo,Entire home/apt,
23738232,Sunny and bright flat middle of Zürich,8635618,Ana Marija,Entire home/apt,133
23867310,3 ROOM (2BR) APARTMENT Zurich City,34541936,Strahinja,Entire home/apt,252
23868386,### LUXURY City-Apartment ###,71504709,Jens,Entire home/apt,
23890113,Zurich chic loft perfect for business or leisure,179524544,Rachelle,Entire home/apt,117
24054809,Stadt Zürich- Kleines Studio Albisriederplatz 4102,19610180,Rossana,Entire home/apt,98
24193619,"Zentrale, moderne Attikawohnung mit Dachterrrassen",142597918,Micaela,Entire home/apt,145
24256245,Room in Kreis 3,8410320,André,Private room,95
